,Синоптический индекс станции,Год по Гринвичу,Месяц по Гринвичу,День по Гринвичу,Срок по Гринвичу,Год источника (местный),Месяц источника (местный),День источника (местный),Срок источника,Номер срока в сутках по поясному декретному зимнему времени (ПДЗВ),Время местное,Номер часового пояса,Начало метеорологических суток по ПДЗВ,Горизонтальная видимость,Признак качества,Признак наличия знака «>»,Общее количество облачности,Признак качества0,Количество облачности нижнего яруса,Признак качества1,Форма облаков верхнего яруса,Признак качества2,Форма облаков среднего яруса,Признак качества3,Форма облаков вертикального развития,Признак качества4,Слоистые и слоисто-кучевые облака,Признак качества5,"Слоисто-дождевые, разорвано-дождевые облака",Признак качества6,Высота нижней границы облачности,Признак качества7,Признак способа определения высоты нижней границы облачности,Признак наличия облачности ниже уровня станции,Признак качества8,Погода между сроками,Признак качества9,Погода в срок наблюдения,Признак качества10,Направление ветра,Признак качества11,Средняя скорость ветра,Признак качества12,Признак наличия знака «>»13,Максимальная скорость ветра,Признак качества14,Признак наличия знака «>»15,Сумма осадков за период между сроками,Признак качества16,Температура поверхности почвы,Признак качества17,Минимальная температура поверхности почвы,Признак качества18,Минимальная температура поверхности почвы между сроками,Признак качества19,Максимальная температура поверхности почвы между сроками,Признак качества20,Температура поверхности почвы по максимальному термометру после встряхивания,Признак качества21,Температура воздуха по сухому термометру,Признак качества22,Температура воздуха по смоченному термометру,Признак качества23,Признак наличия льда на батисте,Температура воздуха по спирту минимального термометра,Признак качества24,Минимальная температура воздуха между сроками,Признак качества25,Максимальная температура воздуха между сроками,Признак качества26,Температура воздуха по максимальному термометру после встряхивания,Признак качества27,Парциальное давление водяного пара,Признак качества28,Указатель точности измерения элемента,Относительная влажность воздуха,Признак качества29,Дефицит насыщения водяного пара,Признак качества30,Указатель точности измерения элемента31,Температура точки росы,Признак качества32,Атмосферное давление на уровне станции,Признак качества33,Атмосферное давление на уровне моря,Признак качества34,Характеристика барической тенденции,Признак качества35,Величина барической тенденции,Признак качества36
0,23074,1965,12,31,15,1966,1,1,18,1,22,6,19,93.0,0,0.0,10.0,0,10.0,0,8.0,0,8.0,0,0.0,0,0.0,0,2.0,0,600.0,0,1.0,,7,7.0,0,75.0,0,140.0,0,5.0,0,0.0,,7,0.0,,7,-15.0,0,,7,,7,,7,,7,-14.6,0,,7,0.0,,7,,7,,7,,7,,7,1,87.0,0,0.3,0,1,-17.0,0,999.7,0,1002.2,0,7.0,0,1.3,0
1,23074,1965,12,31,18,1966,1,1,21,2,1,6,19,95.0,0,0.0,10.0,0,10.0,0,8.0,0,8.0,0,0.0,0,0.0,0,2.0,0,600.0,0,1.0,,7,7.0,0,73.0,0,160.0,0,7.0,0,0.0,,7,0.0,,7,-14.0,0,,7,,7,,7,,7,-13.0,0,,7,0.0,,7,,7,,7,,7,,7,1,86.0,0,0.3,0,1,-15.0,0,998.3,0,1000.8,0,7.0,0,1.4,0
2,23074,1965,12,31,21,1966,1,1,0,3,4,6,19,95.0,0,0.0,10.0,0,10.0,0,8.0,0,8.0,0,0.0,0,0.0,0,2.0,0,500.0,0,1.0,,7,7.0,0,73.0,0,180.0,0,5.0,0,0.0,,7,0.0,,7,-14.0,0,,7,,7,,7,,7,-12.4,0,,7,0.0,,7,,7,,7,,7,,7,1,84.0,0,0.4,0,1,-14.0,0,997.4,0,999.9,0,7.0,0,0.9,0
3,23074,1966,1,1,0,1966,1,1,3,4,7,6,19,95.0,0,0.0,10.0,0,10.0,0,8.0,0,8.0,0,0.0,0,0.0,0,2.0,0,400.0,0,1.0,,7,7.0,0,73.0,0,160.0,0,6.0,0,0.0,,7,0.0,1.1,0,-12.0,0,,7,,7,,7,,7,-12.0,0,,7,0.0,,7,,7,,7,,7,,7,1,86.0,0,0.3,0,1,-14.0,0,997.1,0,999.6,0,7.0,0,0.3,0
4,23074,1966,1,1,3,1966,1,1,6,5,10,6,19,95.0,0,0.0,10.0,0,10.0,0,8.0,0,8.0,0,0.0,0,0.0,0,2.0,0,500.0,0,0.0,,7,7.0,0,73.0,0,140.0,0,6.0,0,0.0,,7,0.0,,7,-12.0,0,,7,,7,,7,,7,-11.9,0,,7,0.0,,7,,7,,7,,7,,7,1,87.0,0,0.4,0,1,-14.0,0,997.4,0,999.9,0,3.0,0,0.3,0
5,23074,1966,1,1,6,1966,1,1,9,6,13,6,19,93.0,0,0.0,10.0,0,10.0,0,8.0,0,8.0,0,0.0,0,0.0,0,2.0,0,400.0,0,1.0,,7,7.0,0,75.0,0,180.0,0,4.0,0,0.0,,7,0.0,,7,-12.0,0,,7,,7,,7,,7,-11.2,0,,7,0.0,,7,,7,,7,,7,,7,1,88.0,0,0.3,0,1,-12.0,0,997.9,0,1000.4,0,2.0,0,0.5,0
6,23074,1966,1,1,9,1966,1,1,12,7,16,6,19,95.0,0,0.0,10.0,0,10.0,0,8.0,0,8.0,0,0.0,0,0.0,0,2.0,0,400.0,0,0.0,,7,7.0,0,73.0,0,200.0,0,5.0,0,0.0,,7,0.0,,7,-14.0,0,,7,,7,,7,,7,-12.6,0,,7,0.0,,7,,7,,7,,7,,7,1,84.0,0,0.3,0,1,-15.0,0,998.1,0,1000.6,0,2.0,0,0.2,0
7,23074,1966,1,1,12,1966,1,1,15,8,19,6,19,96.0,0,0.0,10.0,0,6.0,0,8.0,0,2.0,0,0.0,0,2.0,0,0.0,0,600.0,0,1.0,,7,7.0,0,71.0,0,200.0,0,8.0,0,0.0,,7,0.0,3.8,0,-12.0,0,,7,,7,,7,,7,-12.1,0,,7,0.0,,7,,7,,7,,7,,7,1,83.0,0,0.4,0,1,-14.0,0,998.1,0,1000.6,0,4.0,0,0.0,0
8,23074,1966,1,1,15,1966,1,2,18,1,22,6,19,96.0,0,0.0,10.0,0,0.0,0,8.0,0,2.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,7.0,0,71.0,0,180.0,0,9.0,0,0.0,,7,0.0,,7,-13.0,0,,7,,7,,7,,7,-12.0,0,,7,0.0,,7,,7,,7,,7,,7,1,84.0,0,0.4,0,1,-14.0,0,997.7,0,1000.2,0,8.0,0,0.4,0
9,23074,1966,1,1,18,1966,1,2,21,2,1,6,19,96.0,0,0.0,10.0,0,0.0,0,8.0,0,2.0,0,0.0,0,0.0,0,0.0,0,,5,0.0,,7,7.0,0,71.0,0,180.0,0,5.0,0,0.0,,7,0.0,,7,-14.0,0,,7,,7,,7,,7,-12.5,0,,7,0.0,,7,,7,,7,,7,,7,1,84.0,0,0.3,0,1,-14.0,0,997.5,0,1000.0,0,7.0,0,0.2,0
